1,-1,1569,361,88.1,243.1,1
1,-1,71,363,111.5,273.8,1
1,-1,570,303,248.5,748.2,1
1,-1,163,328,340.4,816.2,0.999
1,-1,869,364,71.9,210.6,0.999
1,-1,1009,371,73.8,196.9,0.998
1,-1,956,350,93.1,251.9,0.997
1,-1,1636,354,89.1,254.7,0.992
1,-1,1641,321,298.3,878.2,0.973
1,-1,2,378,48.6,174.9,0.951
1,-1,1301,338,83.9,246.8,0.905
2,-1,1563,361,88.3,251.7,1
2,-1,574,289,262.9,767.5,1
2,-1,156,336,334.7,817.9,0.999
2,-1,939,359,99.8,242.2,0.999
2,-1,868,364,72.9,212.1,0.999
2,-1,74,381,88.5,244.4,0.998
2,-1,1646,345,78.2,227.7,0.997
2,-1,1013,362,76.6,233,0.995
2,-1,2,387,58.3,149.2,0.994
2,-1,1642,308,297.3,912.1,0.978
2,-1,1284,329,91.8,239.5,0.914
2,-1,843,451,49.2,133.3,0.621
3,-1,1547,346,97.3,267.9,1
3,-1,597,295,251.3,783.5,1
3,-1,866,361,74.4,212.2,0.999
3,-1,113,323,377,808.8,0.998
3,-1,945,352,101.8,246.6,0.997
3,-1,1648,346,77.7,229.8,0.995
3,-1,1027,358,70.2,226.5,0.993
3,-1,55,379,98.6,247.4,0.993
3,-1,3,376,63.9,159.5,0.992
3,-1,1625,295,314.8,971.6,0.991
3,-1,1287,325,89.7,239.1,0.971
3,-1,552,399,65.1,201.1,0.705
